Date,Active Cases,Recoveries,Death,Confirmed
03 04 2020,1,0,0,1
04 04 2020,2,0,0,2
05 04 2020,3,0,0,3
07 04 2020,3,1,0,4
09 04 2020,3,1,0,4
10 04 2020,4,1,0,5
14 04 2020,6,1,0,7
17 04 2020,8,1,0,9
25 04 2020,7,2,0,9
27 04 2020,6,3,0,9
30 04 2020,4,5,0,9
04 05 2020,4,5,0,9
05 05 2020,6,5,0,11
06 05 2020,6,5,0,11
09 05 2020,5,6,0,11
09 05 2020,6,5,0,11
10 05 2020,5,6,0,11
11 05 2020,3,8,0,11
13 05 2020,3,8,0,11
14 05 2020,3,8,0,11
15 05 2020,4,8,0,12
19 05 2020,3,9,0,12
20 05 2020,2,10,0,12
21 05 2020,1,12,0,12
22 05 2020,1,12,0,12
25 05 2020,0,12,0,12
26 05 2020,0,12,2,14
01 07 2020,0,12,2,14
02 07 2020,1,12,2,15
19 07 2020,1,13,2,16
20 07 2020,3,13,2,18
21 07 2020,5,13,2,20
22 07 2020,8,13,2,23
23 07 2020,8,13,2,23
24 07 2020,10,13,2,25
25 07 2020,10,14,2,27
26 07 2020,9,14,3,27
27 07 2020,10,14,3,27
28 07 2020,10,14,3,27
29 07 2020,14,14,3,27
30 07 2020,14,14,3,31
31 07 2020,13,15,3,31
01 08 2020,16,15,3,34
02 08 2020,16,15,3,34
03 08 2020,16,15,3,34
04 08 2020,17,15,3,35
05 08 2020,18,15,3,36
06 08 2020,14,20,3,37
07 08 2020,19,22,3,44
08 08 2020,20,22,3,45
09 08 2020,35,22,3,60
10 08 2020,34,24,3,61
11 08 2020,35,24,3,62
12 08 2020,35,24,3,62
13 08 2020,37,24,3,64
14 08 2020,50,25,3,78
15 08 2020,52,25,3,80
16 08 2020,48,32,3,82
17 08 2020,45,38,3,86
18 08 2020,47,38,3,88
19 08 2020,59,38,3,100
20 08 2020,63,38,4,105
21 08 2020,65,47,4,116
22 08 2020,63,48,5,116
23 08 2020,70,48,5,123
24 08 2020,62,60,5,127
25 08 2020,67,69,6,142
26 08 2020,76,69,6,151
28 08 2020,110,72,6,188
29 08 2020,111,75,6,192
30 08 2020,111,75,6,192
31 08 2020,104,83,8,195
01 09 2020,91,94,10,195
02 09 2020,85,105,11,201
03 09 2020,74,119,11,204
04 09 2020,79,130,12,221
05 09 2020,82,132,12,226
06 09 2020,83,134,12,229
07 09 2020,79,138,12,229
08 09 2020,77,145,12,234
09 09 2020,60,170,12,242
10 09 2020,70,170,12,252
11 09 2020,82,170,12,264
12 09 2020,90,170,12,272
13 09 2020,113,171,12,296
14 09 2020,110,174,12,296
15 09 2020,116,179,13,308
16 09 2020,119,182,14,315
17 09 2020,150,182,14,346
19 09 2020,190,194,14,398
20 09 2020,209,194,14,417
22 09 2020,202,218,17,437
